 11  202.468028 8.729E-19 1.693E+00.08910.435  446.51070.720.000200          0 0 0          0 0 0  6  3  4        5  2  3      764426807260783049    39.0   33.0
 11  202.469173 5.488E-30 3.512E-01.06380.265 5579.48930.60-.005830          0 2 0          1 0 0 13  4  9       12  3 10      434233837294713152    81.0   75.0
 11  202.574187 4.585E-27 1.346E+00.08550.371 4350.69930.700.001340          0 0 1          0 0 1  7  3  5        6  2  4      534223837294713152    45.0   39.0
 11  202.580743 1.955E-28 2.231E+00.02580.172 5074.22160.200.004790          0 0 0          0 0 0 19  7 13       19  6 14      434233837260713049    39.0   39.0
 11  202.623092 2.326E-26 1.337E+00.08850.446 3951.31500.710.003260          1 0 0          1 0 0  5  3  2        4  2  3      564223837294783152    33.0   27.0
 11  202.689127 2.661E-18 3.412E+00.07300.364  285.41860.64-.001410          0 0 0          0 0 0  4  4  1        3  3  0      764426807260783049    27.0   21.0
 11  202.701353 8.858E-24 1.179E-04.08380.376  842.35660.74-.001060          0 0 0          0 0 0  6  6  1        7  3  4      764426807260783049    39.0   45.0
 11  202.914836 8.888E-19 3.421E+00.07170.366  285.21930.62-.000800          0 0 0          0 0 0  4  4  0        3  3  1      764426837260783049     9.0    7.0
 11  203.491452 2.216E-30 1.038E+00.03050.298 5935.83220.34-.004000          0 0 1          0 0 1 10  9  1       10  8  2      434233837294713152    63.0   63.0
 11  203.492690 7.409E-31 1.041E+00.03920.281 5935.83100.580.000000          0 0 1          0 0 1 10  9  2       10  8  3      4333308387659336 0    21.0   21.0
 11  203.506615 2.086E-22 1.890E+00.09090.438 1922.90110.730.000320          0 1 0          0 1 0  5  3  3        4  2  2      764223837294783152    11.0    9.0
 11  203.809352 6.838E-29 2.209E-02.07180.352 4368.63690.65-.001450          1 0 0          0 2 0  7  4  3        7  5  2      534233837294713152    45.0   45.0
 11  203.896827 1.126E-26 2.011E+00.04530.265 4125.59900.43-.006750          0 1 0          0 1 0 12  7  5       12  6  6      564223837294713152    25.0   25.0
 11  204.009702 2.830E-30 2.377E+00.03230.161 5966.82180.29-.010250          0 0 0          0 0 0 20  9 11       20  8 12      334233837260713049    41.0   41.0
 11  204.031674 1.846E-30 8.614E-11.07340.352  927.74390.650.000000          0 0 0          0 0 0  8  4  4        7  4  4     q7422308079917122 0    17.0   15.0
 11  204.087672 1.125E-28 3.319E-03.04640.195 3812.04690.510.018400          0 0 0          0 0 0 16  7  9       17  4 14      434233837260713049    33.0   35.0
 11  204.232651 3.639E-28 4.522E-01.02490.195 4830.89390.190.000870          0 0 0          0 0 0 18  8 11       17  9  8      434423837260713049   111.0  105.0
 11  204.299957 7.676E-29 2.373E+00.02660.172 5276.80240.210.003830          0 0 0          0 0 0 19  8 12       19  7 13      434233837260713049    39.0   39.0
 11  204.478070 2.624E-24 6.942E-01.04450.209 2905.43350.50-.006710          0 1 0          0 1 0  7  7  0        7  6  1      664223837294783152    45.0   45.0
 11  204.480904 8.747E-25 6.942E-01.04440.352 2905.43060.50-.006680          0 1 0          0 1 0  7  7  1        7  6  2      664223837294713152    15.0   15.0
 11  204.571915 4.570E-29 2.065E+00.06670.352 5409.69800.570.007300          0 3 0          0 3 0  8  2  7        7  1  6      434233837294713152    51.0   45.0
 11  204.574244 5.534E-22 1.226E+00.02640.231 2042.31060.19-.000610          0 0 0          0 0 0 13  2 11       13  1 12      564426837260783049    81.0   81.0
 11  204.580856 8.682E-30 4.246E-03.06840.371 4197.36100.62-.001730          1 0 0          0 2 0  6  4  2        6  5  1      534253837294713152    13.0   13.0
 11  204.671840 4.306E-29 9.594E-02.07510.333 4564.36660.67-.000370          1 0 0          0 2 0  8  4  4        8  5  3      534253837294713152    17.0   17.0
 11  204.783056 4.637E-31 2.168E-03.03180.183 4865.22650.350.000000          0 0 0          0 0 0 17 10  8       18  7 11      4333308387659336 0    35.0   37.0
 11  204.818030 2.987E-29 3.080E-01.05240.265 5184.73430.530.000600          0 2 0          1 0 0 12  4  9       12  1 12      434233837294713152    75.0   75.0
 11  204.856749 4.255E-28 2.115E-02.10050.456 3825.21310.750.009000          0 0 1          0 0 1  3  3  1        2  0  2      534223837294713152    21.0   15.0
